user_id,group_id,type,time
14658,39498,fit,2023-06-20 15:04:08
14658,39529,pop,2023-06-20 15:05:01
14658,39529,pop,2023-06-20 15:06:08
14658,39529,pop,2023-06-20 15:07:13
14658,39529,pop,2023-06-20 15:08:10
14658,39562,pop,2023-06-20 15:15:39
14658,39562,fit,2023-06-20 15:30:50
14658,39615,pop,2023-06-20 15:41:25
14658,39628,pop,2023-06-20 15:52:03
14658,39645,pop,2023-06-20 16:00:01
14658,39653,pop,2023-06-20 16:05:05
14658,39757,pop,2023-06-20 16:52:42
14658,39757,fit,2023-06-20 17:00:37
14658,39757,fit,2023-06-20 17:06:15
14658,40104,pop,2023-06-20 19:47:30
14658,40111,pop,2023-06-20 19:50:23
14658,40558,pop,2023-06-20 23:25:32
14730,35803,pop,2023-06-14 13:27:13
14730,36924,pop,2023-06-16 10:02:54
14730,37531,pop,2023-06-19 12:01:42
14730,37531,pop,2023-06-19 12:03:12
14730,37531,pop,2023-06-19 12:09:27
14730,37612,pop,2023-06-19 12:24:49
14730,37612,pop,2023-06-19 12:53:00
14730,37788,pop,2023-06-19 12:55:46
14730,37788,pop,2023-06-19 13:06:53
14730,37891,pop,2023-06-19 13:13:26
14730,39560,pop,2023-06-20 15:16:13
14730,39567,pop,2023-06-20 15:16:34
14730,39567,pop,2023-06-20 15:17:02
14730,39567,pop,2023-06-20 15:17:33
14730,39567,pop,2023-06-20 15:17:43
14730,39576,pop,2023-06-20 15:22:20
14730,39576,pop,2023-06-20 15:22:58
14730,39576,pop,2023-06-20 15:23:37
14730,39587,pop,2023-06-20 15:30:51
14730,39587,pop,2023-06-20 15:31:15
14730,39602,pop,2023-06-20 15:34:02
14730,39602,pop,2023-06-20 15:34:42
14730,39626,pop,2023-06-20 15:46:17
14730,39626,pop,2023-06-20 15:52:50
14730,39626,pop,2023-06-20 15:53:06
14730,39626,pop,2023-06-20 15:53:17
14730,39626,pop,2023-06-20 15:53:17
14730,39626,pop,2023-06-20 15:55:06
14730,39626,pop,2023-06-20 15:55:08
14730,39753,pop,2023-06-20 16:52:42
14747,35820,pop,2023-06-14 13:40:10
14747,39594,pop,2023-06-20 15:30:48
14747,39627,fit,2023-06-20 15:51:38
14747,40676,pop,2023-06-21 11:39:55
14884,35951,pop,2023-06-14 15:54:28
14884,39591,pop,2023-06-20 15:31:15
14884,39591,pop,2023-06-20 15:31:16
14884,39605,pop,2023-06-20 15:34:32
14884,39605,fit,2023-06-20 15:36:06
14884,39605,fit,2023-06-20 15:41:06
14884,39605,fit,2023-06-20 15:41:10
14884,39605,fit,2023-06-20 15:46:13
14884,39605,fit,2023-06-20 15:46:13
14884,39605,fit,2023-06-20 15:46:32
14884,39605,fit,2023-06-20 15:46:42
14884,39629,pop,2023-06-20 15:51:51
14884,39635,pop,2023-06-20 15:52:49
14884,39635,fit,2023-06-20 15:59:12
14884,39635,fit,2023-06-20 15:59:43
14884,39635,fit,2023-06-20 16:03:22
14884,39635,fit,2023-06-20 16:03:39
14814,35887,pop,2023-06-14 14:17:04
14814,35887,pop,2023-06-14 14:17:17
14814,39697,pop,2023-06-20 16:21:45
14869,35936,pop,2023-06-14 15:32:16
14771,35844,pop,2023-06-14 13:53:25
14771,37348,fit,2023-06-19 08:15:52
14771,37349,pop,2023-06-19 08:17:26
14771,37350,pop,2023-06-19 08:19:22
14771,38235,pop,2023-06-19 14:39:49
14771,38230,pop,2023-06-19 14:39:49
14771,38230,fit,2023-06-19 14:43:22
14771,38285,pop,2023-06-19 14:53:37
14771,38809,pop,2023-06-19 21:40:23
14771,38827,pop,2023-06-19 21:44:36
14771,38829,pop,2023-06-19 21:48:12
14771,38831,pop,2023-06-19 21:48:22
14771,39690,pop,2023-06-20 16:21:40
14771,39690,fit,2023-06-20 16:22:37
14771,39690,fit,2023-06-20 16:33:55
14771,39690,fit,2023-06-20 16:35:34
14771,39690,fit,2023-06-20 16:37:39
14771,39739,pop,2023-06-20 16:45:22
14738,35811,pop,2023-06-14 13:35:24
14738,38825,pop,2023-06-19 21:44:13
14738,38825,pop,2023-06-19 22:03:56
14738,38940,pop,2023-06-19 23:05:27
14738,38940,pop,2023-06-19 23:33:22
14738,38940,pop,2023-06-19 23:35:33
14738,39685,pop,2023-06-20 16:18:45
14738,39713,pop,2023-06-20 16:34:01
14738,39713,fit,2023-06-20 16:40:25
14738,40639,pop,2023-06-21 03:06:56
14651,35724,pop,2023-06-14 12:39:45
14651,39356,pop,2023-06-20 12:48:31
14651,39356,pop,2023-06-20 14:48:38
14651,39505,pop,2023-06-20 15:11:32
14651,39584,pop,2023-06-20 15:30:51
14651,39584,pop,2023-06-20 15:35:51
14651,39687,pop,2023-06-20 16:18:46
14651,39693,pop,2023-06-20 16:21:42
14651,39727,pop,2023-06-20 16:40:27
14651,39734,pop,2023-06-20 16:40:29
14651,39734,pop,2023-06-20 16:41:19
14651,39741,pop,2023-06-20 16:45:10
14651,39741,pop,2023-06-20 16:46:41
14651,39748,pop,2023-06-20 16:52:36
14651,39748,pop,2023-06-20 16:57:20
14651,39748,pop,2023-06-20 16:57:20
14651,39748,pop,2023-06-20 16:57:20
14651,39748,pop,2023-06-20 17:00:11
14651,39748,pop,2023-06-20 17:00:11
14651,39775,pop,2023-06-20 17:03:06
14651,39775,pop,2023-06-20 17:05:57
14651,39788,pop,2023-06-20 17:06:32
14651,39788,pop,2023-06-20 17:07:36
14651,39734,pop,2023-06-20 17:07:36
14651,39788,pop,2023-06-20 17:07:37
14651,39788,pop,2023-06-20 17:07:38
14742,35815,pop,2023-06-14 13:37:24
14742,39779,pop,2023-06-20 17:06:14
14742,39779,fit,2023-06-20 17:18:47
14742,39870,pop,2023-06-20 17:50:34
14742,39928,pop,2023-06-20 18:11:34
14802,35875,pop,2023-06-14 14:09:01
14802,39866,fit,2023-06-20 17:50:17
14802,39866,fit,2023-06-20 17:50:23
14716,35789,pop,2023-06-14 13:12:34
14716,36912,pop,2023-06-16 09:52:50
14716,36912,fit,2023-06-16 09:59:09
14716,37783,pop,2023-06-19 12:55:08
14716,37925,pop,2023-06-19 13:14:16
14716,37925,fit,2023-06-19 13:57:14
14716,39346,pop,2023-06-20 12:02:49
14716,39346,fit,2023-06-20 13:13:37
14716,39346,fit,2023-06-20 17:30:49
14716,39346,fit,2023-06-20 17:33:36
