"id","group_id","restaurant_id","ts"
580,40452,5,"2023-06-20 22:37:10"
581,40458,32,"2023-06-20 22:42:53"
582,40477,5,"2023-06-20 22:46:47"
583,40474,29,"2023-06-20 22:46:49"
584,40404,29,"2023-06-20 22:51:52"
585,40480,32,"2023-06-20 22:56:15"
586,40496,4,"2023-06-20 22:57:34"
587,40497,17,"2023-06-20 22:58:24"
588,40499,32,"2023-06-20 22:59:12"
589,40500,17,"2023-06-20 23:00:09"
590,40504,2,"2023-06-20 23:01:06"
591,40505,19,"2023-06-20 23:02:03"
592,40520,6,"2023-06-20 23:04:21"
593,40522,21,"2023-06-20 23:05:21"
594,40524,22,"2023-06-20 23:06:03"
595,40526,8,"2023-06-20 23:06:51"
596,40528,28,"2023-06-20 23:08:31"
597,40536,18,"2023-06-20 23:14:44"
598,40544,5,"2023-06-20 23:17:58"
599,40547,29,"2023-06-20 23:19:15"
600,40427,5,"2023-06-20 23:39:32"
601,40506,5,"2023-06-20 23:52:21"
602,40627,29,"2023-06-21 00:20:43"
603,40683,25,"2023-06-21 12:08:50"
604,40704,29,"2023-06-21 14:09:33"
605,40765,29,"2023-06-21 22:41:47"
606,40828,29,"2023-06-29 17:04:21"
607,40829,29,"2023-06-29 17:04:57"
608,40897,18,"2023-07-11 13:44:22"
609,40899,26,"2023-07-11 13:45:17"
610,40910,32,"2023-07-11 14:22:07"
611,40911,25,"2023-07-11 14:27:07"
612,40918,26,"2023-07-11 14:47:41"
613,40920,18,"2023-07-11 14:53:45"
614,40922,18,"2023-07-11 15:07:25"
615,40924,22,"2023-07-11 15:22:49"
616,40932,18,"2023-07-11 16:00:35"
617,40933,31,"2023-07-11 16:10:45"
618,40938,5,"2023-07-11 16:35:24"
619,40939,32,"2023-07-11 16:39:53"
620,40995,13,"2023-08-29 09:42:25"
